mapid	code_link	sm_link	web_link
hrbrmstr_2019_05	https://rud.is/books/30-day-map-challenge/raster-01.html	https://twitter.com/hrbrmstr/status/1191713131627761674	_
hrbrmstr_2019_06	https://rud.is/books/30-day-map-challenge/blue-01.html	https://twitter.com/hrbrmstr/status/1192259907011141633	_
hrbrmstr_2019_08	https://rud.is/books/30-day-map-challenge/green-01.html	https://twitter.com/hrbrmstr/status/1193182507358928896	_
hrbrmstr_2019_09	https://rud.is/books/30-day-map-challenge/yellow-01.html	https://twitter.com/hrbrmstr/status/1193276215605579776	_
hrbrmstr_2019_10	https://rud.is/books/30-day-map-challenge/bw-01.html	https://twitter.com/hrbrmstr/status/1193468256314634240	_
hrbrmstr_2019_11	https://rud.is/books/30-day-map-challenge/elevation-01.html	https://twitter.com/hrbrmstr/status/1193645754923008000	_
hrbrmstr_2019_12	https://rud.is/books/30-day-map-challenge/movement-01.html	https://twitter.com/hrbrmstr/status/1193902417844289536	_
hrbrmstr_2019_13	https://rud.is/books/30-day-map-challenge/borders-01.html	https://twitter.com/hrbrmstr/status/1194599486556983296	_
hrbrmstr_2019_14	https://rud.is/books/30-day-map-challenge/tracks-01.html	https://twitter.com/hrbrmstr/status/1195326882532728832	_
hrbrmstr_2019_15	https://rud.is/books/30-day-map-challenge/names-01.html	https://twitter.com/hrbrmstr/status/1195765008942206977	_
hrbrmstr_2019_16	https://rud.is/books/30-day-map-challenge/places-01.html	https://twitter.com/hrbrmstr/status/1196098184227016710	_
hrbrmstr_2019_17	https://rud.is/books/30-day-map-challenge/zones-01.html	https://twitter.com/hrbrmstr/status/1196118978793480192	_
hrbrmstr_2019_18	https://rud.is/books/30-day-map-challenge/globe-01.html	https://twitter.com/hrbrmstr/status/1196384762480463872	_
hrbrmstr_2019_19	https://rud.is/books/30-day-map-challenge/urban-01.html	https://twitter.com/hrbrmstr/status/1196870429501218817	_
